path,bytes,lines
src/components/admin/DataAggregationDashboard.tsx,12048,329
src/components/admin/MsrpPopulationPanel.tsx,3346,99
src/components/admin/FANGOrchestrationDashboard.tsx,18701,477
src/components/admin/testing/AuthTestPanel.tsx,4047,132
src/components/vehicle/EpaMpgDisplay.tsx,2087,68
src/components/referrals/ReferralHistoryList.tsx,1925,57
src/components/referrals/ReferralStatusCard.tsx,1344,50
src/components/referrals/ReferralModal.tsx,2302,75
src/components/SimilarListingsSection.tsx,4460,122
src/components/dealer-messages/DealerMessagesLayout.tsx,561,20
src/components/dealer-messages/context/LeadsContext.tsx,1268,51
src/components/steps/VehicleLookup.tsx,2825,95
src/components/professional/ProfessionalResultsPage.tsx,14927,390
src/components/ui/table.tsx,2787,117
src/components/ui/input-otp.tsx,2172,69
src/components/ui/form.tsx,2545,108
src/components/ui/checkbox.tsx,1064,28
src/components/ui/spinner.tsx,582,24
src/components/ui/label.tsx,711,25
src/components/ui/accordion.tsx,2029,57
src/components/ui/sheet.tsx,4291,139
src/components/ui/switch.tsx,1650,49
src/components/ui/sidebar.tsx,1993,71
src/components/ui/menubar.tsx,7909,230
src/components/ui/command.tsx,4854,154
src/components/ui/premium-badge.tsx,1142,49
src/components/ui/select.tsx,5644,159
src/components/ui/entity-card.tsx,4107,152
src/components/ui/popover.tsx,1240,30
src/components/ui/skeleton.tsx,264,15
src/components/ui/tooltip.tsx,768,40
src/components/ui/collapsible.tsx,316,10
src/components/ui/tabs-improved.tsx,4518,153
src/components/ui/toggle.tsx,1852,58
src/components/ui/toggle-group.tsx,1813,62
src/components/ui/condition-badge.tsx,2966,95
src/components/ui/resizable.tsx,1719,43
src/components/ui/button.tsx,1836,57
src/components/ui/pagination.tsx,2783,119
src/components/ui/toast.tsx,4354,126
src/components/ui/combobox.tsx,4901,163
src/components/ui/radio-group.tsx,1480,43
src/components/ui/textarea.tsx,779,25
src/components/ui/skeleton-select.tsx,984,31
src/components/ui/slider.tsx,2060,58
src/components/ui/context-menu.tsx,7345,199
src/components/ui/search-and-filter-bar.tsx,2731,96
src/components/ui/modal.tsx,3824,120
src/components/ui/data-table.tsx,1792,56
src/components/ui/alert.tsx,1585,60
src/components/ui/badge.tsx,1135,37
src/components/ui/toaster.tsx,90,6
src/components/ui/MarkdownRenderer.tsx,1727,55
src/components/ui/no-results.tsx,1237,46
src/components/ui/ColorSwatch.tsx,6305,196
src/components/ui/tabs.tsx,2574,114
src/components/ui/dialog.tsx,3857,121
src/components/ui/index.ts,1718,62
src/components/ui/navigation-menu.tsx,4665,137
src/components/ui/separator.tsx,655,26
src/components/ui/icons.tsx,1446,60
src/components/ui/calendar.tsx,2688,68
src/components/ui/animated-card.tsx,2041,80
src/components/ui/combobox.d.ts,291,16
src/components/ui/scroll-area.tsx,1651,46
src/components/ui/enhanced/ProfessionalButton.tsx,3701,100
src/components/ui/enhanced/PricingSection.tsx,4867,145
src/components/ui/enhanced/index.ts,291,7
src/components/ui/enhanced/ProfessionalHero.tsx,4288,126
src/components/ui/enhanced/FeatureSection.tsx,2199,70
src/components/ui/enhanced/ProfessionalCard.tsx,3286,126
src/components/ui/enhanced/ProfessionalModal.tsx,6491,226
src/components/ui/enhanced/TestimonialSection.tsx,3075,87
src/components/ui/resource-header.tsx,1394,56
src/components/ui/container.tsx,362,18
src/components/ui/combo-box.tsx,2534,97
src/components/ui/carousel.tsx,6289,260
src/components/ui/UpgradeCTA.tsx,2261,61
src/components/ui/badge-enhanced.tsx,2728,97
src/components/ui/card.tsx,1836,68
src/components/ui/input-enhanced.tsx,2858,102
src/components/ui/hover-card.tsx,1193,27
src/components/ui/card-enhanced.tsx,2823,118
src/components/ui/breadcrumb.tsx,2726,116
src/components/ui/button-enhanced.tsx,3453,116
src/components/ui/chart.tsx,10985,369
src/components/ui/empty-state.tsx,1015,40
src/components/ui/progress.tsx,784,26
src/components/ui/aspect-ratio.tsx,143,5
src/components/ui/dropdown-menu.tsx,7317,190
src/components/ui/drawer.tsx,3050,117
src/components/ui/delete-confirmation-dialog.tsx,1372,52
src/components/ui/custom-button.tsx,1068,44
src/components/ui/animated-button.tsx,3249,118
src/components/ui/input.tsx,825,26
src/components/ui/stepper.tsx,2497,76
src/components/ui/design-system/DesignCard.tsx,813,33
src/components/ui/design-system/SectionHeader.tsx,1262,57
src/components/ui/theme-provider.tsx,472,17
